userId,count,mean,std,min,25%,50%,75%,max
Tessa,36.0,4.472222222222222,0.6963624307217003,2.0,4.0,5.0,5.0,5.0
Mano,31.0,4.32258064516129,1.0766335425511488,1.0,4.0,5.0,5.0,5.0
olivia,49.0,3.6530612244897958,0.9693429993248707,2.0,3.0,4.0,4.0,5.0
Seno,48.0,3.1666666666666665,1.1909826683508273,1.0,2.0,3.0,4.0,5.0
Sujit,40.0,4.3,0.8227533512074423,2.0,4.0,4.5,5.0,5.0
Unknown,19.0,3.9473684210526314,0.8481145238787242,2.0,3.5,4.0,4.5,5.0
brecht,59.0,4.1525423728813555,0.826574971504951,2.0,4.0,4.0,5.0,5.0
Can,12.0,4.583333333333333,0.5149286505444373,4.0,4.0,5.0,5.0,5.0
Valerie,23.0,3.608695652173913,0.9409439377939296,2.0,3.0,4.0,4.0,5.0
Adam Driver,50.0,3.88,1.1183077594731958,1.0,3.0,4.0,5.0,5.0
Alex,24.0,3.8333333333333335,1.0072203103706698,1.0,3.0,4.0,4.25,5.0
me,84.0,3.630952380952381,1.027099811022031,2.0,3.0,4.0,4.25,5.0
June,40.0,4.175,1.1521996799878496,1.0,3.75,5.0,5.0,5.0
Max,31.0,4.129032258064516,0.9216628264128904,2.0,4.0,4.0,5.0,5.0
Mandy,21.0,3.1904761904761907,1.2497618820818477,1.0,2.0,3.0,4.0,5.0
Tobias,13.0,4.846153846153846,0.3755338080994054,4.0,5.0,5.0,5.0,5.0
em,54.0,3.5555555555555554,1.2387861780664786,1.0,3.0,3.5,5.0,5.0
Dani,29.0,3.8275862068965516,1.1670771035014103,1.0,3.0,4.0,5.0,5.0
Pantareimadrid,57.0,3.3333333333333335,1.2583057392117918,1.0,2.0,4.0,4.0,5.0
tove,30.0,3.8333333333333335,1.0199166069132668,2.0,3.0,4.0,5.0,5.0
Elsa,40.0,3.825,0.9306049865682222,2.0,3.0,4.0,5.0,5.0
lea dicaprio,30.0,3.933333333333333,0.9444331755018487,2.0,3.0,4.0,5.0,5.0
Cuanina,78.0,3.641025641025641,1.0441470635131291,1.0,3.0,4.0,4.0,5.0
Alex Tester,54.0,3.740740740740741,0.9748765801940068,1.0,3.0,4.0,4.0,5.0
Carmen Maura,57.0,3.3684210526315788,1.3710212427677044,1.0,2.0,4.0,5.0,5.0
Carstencito,61.0,3.3114754098360657,1.1767325327158729,1.0,3.0,4.0,4.0,5.0
Mag,24.0,4.0,1.285369173834303,1.0,4.0,4.0,5.0,5.0
Arne,16.0,4.125,0.9574271077563381,2.0,3.75,4.0,5.0,5.0
Kosta,32.0,4.28125,0.7718588789618592,2.0,4.0,4.0,5.0,5.0
Chespirito,68.0,3.2058823529411766,1.1789044184087336,1.0,2.0,3.0,4.0,5.0
Marcel,21.0,4.333333333333333,0.6582805886043833,3.0,4.0,4.0,5.0,5.0
Flac,18.0,3.4444444444444446,0.8555852638929972,2.0,3.0,3.0,4.0,5.0
yai,34.0,3.8823529411764706,1.1745974392893195,1.0,3.25,4.0,5.0,5.0
Totoro,43.0,3.302325581395349,1.035900430059124,1.0,3.0,3.0,4.0,5.0
John Sample,32.0,3.5625,1.0453429750487975,1.0,3.0,4.0,4.0,5.0
Wim Wenders,86.0,3.546511627906977,1.2802295450810746,1.0,3.0,4.0,5.0,5.0
Isabel,36.0,3.888888888888889,0.9189365834726815,2.0,3.0,4.0,5.0,5.0
Julie,38.0,4.026315789473684,0.9722318182370927,2.0,4.0,4.0,5.0,5.0
Tony Stark,98.0,3.010204081632653,0.9999474002577023,1.0,2.0,3.0,4.0,5.0
Hilko,44.0,4.204545454545454,0.9296047035501591,1.0,4.0,4.0,5.0,5.0
Yoana,70.0,3.6,1.2205961954978264,1.0,3.0,4.0,5.0,5.0
